sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated
110,990,6080,1336,8754,7.48335015136226,16384,214
111,999,6185,1327,8654,7.512,16384,218
112,1008,6293,1321,8551,7.546085232903865,16384,219
113,1017,6417,1311,8435,7.591355599214145,16384,221
114,1026,6576,1298,8287,7.66699123661149,16384,223
115,1035,6711,1311,8138,7.743243243243243,16384,224
116,1044,6846,1305,8006,7.8,16384,227
117,1053,6971,1303,7881,7.850094876660341,16384,229
118,1062,7103,1324,7724,7.927563499529633,16384,233
119,1071,7215,1328,7606,7.969216417910448,16384,235
120,1080,7320,1341,7486,8.012025901942646,16384,237
121,1089,7416,1335,7395,8.028440366972477,16384,238
122,1098,7512,1354,7280,8.067333939945405,16384,238
123,1107,7614,1363,7168,8.101985559566787,16384,239
124,1116,7728,1372,7043,8.146821844225604,16384,241
125,1125,7874,1367,6901,8.206927175843694,16384,242
126,1134,8022,1384,6734,8.287224669603525,16384,244
127,1143,8151,1407,6581,8.354895104895105,16384,245
128,1152,8274,1474,6386,8.454466608846488,16384,250
129,1161,8427,1478,6227,8.524096385542169,16384,252
130,1170,8543,1511,6073,8.585824081981213,16384,257
131,1179,8661,1561,5901,8.662711864406779,16384,261
132,1188,8751,1644,5724,8.742640874684609,16384,265
133,1197,8866,1681,5569,8.803839732888147,16384,268
134,1206,8977,1739,5400,8.878210439105219,16384,268
135,1215,9100,1787,5226,8.953125,16384,271
136,1224,9241,1798,5072,9.01142857142857,16384,273
137,1233,9406,1814,4887,9.092382495948137,16384,277
138,1242,9558,1848,4700,9.176186645213194,16384,278
139,1251,9748,1822,4536,9.241214057507987,16384,278
140,1260,9905,1836,4361,9.31086439333862,16384,282
141,1269,10054,1858,4189,9.379527559055118,16384,283
142,1278,10222,1867,4006,9.451915559030493,16384,289
143,1287,10395,1826,3871,9.488354037267081,16384,292
144,1296,10547,1827,3713,9.540478026214341,16384,297
145,1305,10716,1782,3586,9.56967840735069,16384,300
146,1314,10887,1757,3437,9.615209125475285,16384,303
147,1323,11039,1747,3294,9.657099697885196,16384,304
148,1332,11220,1697,3163,9.690172543135784,16384,304
149,1341,11406,1640,3031,9.721311475409836,16384,307
150,1350,11570,1579,2926,9.73279052553664,16384,309
151,1359,11741,1497,2835,9.733823529411765,16384,311
152,1368,11912,1411,2750,9.731921110299488,16384,311
153,1377,12089,1322,2660,9.7322206095791,16384,313
154,1386,12221,1281,2568,9.73467916366258,16384,314
155,1395,12374,1207,2489,9.728510028653295,16384,314
156,1404,12498,1154,2418,9.716725978647688,16384,314
157,1413,12644,1092,2333,9.714285714285714,16384,315
158,1422,12786,1020,2263,9.702037947997189,16384,315
159,1431,12917,960,2191,9.690642458100559,16384,316
160,1440,13046,896,2126,9.675225537820957,16384,316
161,1449,13149,863,2056,9.663448275862068,16384,316
162,1458,13238,844,1984,9.651816312542838,16384,318
163,1467,13323,810,1933,9.627384196185286,16384,318
164,1476,13411,775,1880,9.60460392687881,16384,318
165,1485,13502,733,1831,9.579407806191117,16384,318
166,1494,13581,717,1766,9.563879598662208,16384,320
167,1503,13652,702,1707,9.543882978723405,16384,323
168,1512,13736,690,1635,9.534699272967615,16384,323
169,1521,13806,683,1568,9.51971090670171,16384,327
170,1530,13877,660,1515,9.495101241018942,16384,332
171,1539,13942,634,1471,9.464935064935064,16384,337
172,1548,14012,599,1435,9.432537120723048,16384,338
173,1557,14082,556,1407,9.39537869062901,16384,339
174,1566,14133,539,1371,9.363114231014677,16384,341
175,1575,14186,517,1336,9.329314720812183,16384,345
176,1584,14235,503,1300,9.298422712933753,16384,346
177,1593,14298,484,1255,9.273525721455458,16384,347
178,1602,14354,470,1212,9.247660636306925,16384,348
179,1611,14426,438,1170,9.220843672456576,16384,350
180,1620,14489,410,1134,9.191239975323874,16384,351
181,1629,14537,408,1083,9.168711656441717,16384,356
182,1638,14576,420,1032,9.149481391092129,16384,356
183,1647,14611,435,979,9.129854368932039,16384,359
184,1656,14638,455,930,9.108630054315027,16384,361
185,1665,14672,458,892,9.081632653061224,16384,362
186,1674,14703,466,853,9.056119402985075,16384,362
187,1683,14738,467,817,9.029097387173397,16384,362
188,1692,14782,453,787,8.998818665091553,16384,362
189,1701,14824,436,762,8.965922444183313,16384,362
190,1710,14864,417,741,8.931034482758621,16384,362
191,1719,14899,409,714,8.9,16384,362
192,1728,14945,387,690,8.867553499132447,16384,362
193,1737,14996,369,657,8.840621403912543,16384,362
194,1746,15046,346,630,8.810532341156268,16384,362
195,1755,15093,329,600,8.78246013667426,16384,362
196,1764,15130,319,573,8.752974504249291,16384,362
197,1773,15169,294,559,8.716459977452086,16384,362
198,1782,15205,271,546,8.679753224901852,16384,362
199,1791,15235,256,531,8.64453125,16384,362
200,1800,15260,240,522,8.606329816768461,16384,362
201,1809,15281,225,515,8.566850828729281,16384,363
202,1818,15308,204,509,8.527762506871907,16384,363
203,1827,15332,183,506,8.487417943107221,16384,363
204,1836,15365,152,504,8.446924333151879,16384,363
205,1845,15392,127,502,8.4068255687974,16384,363
206,1854,15422,97,502,8.366037735849057,16384,363
207,1863,15449,70,502,8.325643776824034,16384,363
208,1872,15463,56,502,8.285638013881474,16384,363
209,1881,15476,43,502,8.246014877789586,16384,363
210,1890,15491,28,502,8.20676890534109,16384,363
211,1899,15500,19,502,8.167894736842106,16384,363
212,1908,15506,13,502,8.12938711367208,16384,363
213,1917,15512,7,502,8.091240875912408,16384,363
214,1926,15515,4,501,8.053450960041515,16384,364
215,1935,15517,2,501,8.016012396694215,16384,364
216,1944,15519,0,501,7.978920308483291,16384,364
